eng,ssw,source
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department Public Service and Administration, Entities and Public Service Commission (Announcements, Tablings and Committee Reports, 11 March 2020, p 30).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe  leTemisebenti yaHulumende neKuphatsa lomayelana neKusebenta kweKota yeSibili neyeSitsatfu yemnyakatimali wanga-2019/20: Litiko leTemisebenti yaHulumende neKuphatsa, Tinhlaka talo, neKhomishini yeTemisebenti yaHulumende (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-11 Indlovulenkhulu 2020, likh. le-30.",June
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Statistics South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 23).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe  leTemisebenti yaHulumende neKuphatsa lomayelana neKusebenta kweKota yeSibili neyeSitsatfu yemnyakatimali wanga-2019/20: Telubalobalo taseNingizimu Afrika (Timemetelo, Tetfulo kanye neMibiko yeLikomidi, mhla ti-11 Indlovulenkhulu 2020, likh. le-23).",June
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 15).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe  leTemisebenti yaHulumende neKuphatsa lomayelana neKusebenta kweKota yeSibili neyeSitsatfu yemnyakatimali wanga-2019/20: Litiko Letekuhlela, Kucaphela Nekulinganisa Kusebenta Kwahulumende  ne-Brand South Africa (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla, 11 Indlovulenkhulu 2020, likh.le-15).",June
"Consideration of Report of Portfolio Committee on Basic Education on oversight visit to Capricorn and Sekhukhune Education Districts, Limpopo Province (Announcements, Tablings and Committee Reports, 26 February 2020, p 6).","Kucutjungulwa kweMbiko weLokomidi leLibandla laVelonkhe leTemfundvo Lesisekelo mayelana neluvakasho lwetekwengamela lwekuya eTigodzini teteMfundvo eCapricorn naseSekhukhune, kuSifundza saseLimpopo (Timemetelo, Tetfulo neMibiko yeMakomidi, mhla tinge-26 Indlovulencane 2020, likh. 6).",June
"Consideration of Report of Portfolio Committee on Basic Education on Submission from the Griqua People’s Heritage on the lack of a Primary School (Announcements, Tablings and Committee Reports, 11 February 2020, p 5).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekutfutsa weTemfundvo Lesisekelo lomayelana neSetfulo lesibuya kuteMagugu neMafa emaGriqua lesimayelana nekungabikhona kweSikolo seMabanga Laphasi (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-11 Indlovulencane 2020, likh le-5)",June
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s performance in first quarter of 2019/20 (Announcements, Tablings and Committee Reports, 9 December 2019, p 20).","9.	Kucutjungulwa kweMbiko weLikomidi leLimile leTindlu Totimbili lomayelana neLulawulo lweTetimali tePhalamende lomayelana neKusebenta kwekota yekucala yemnyaka wa-2019/20 kwePhalamende yaseRiphabhliki yaseNingizimu Afrika (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-09 Ingongoni 2019, likh. le-20).",June
"Consideration of Report of Joint Standing Committee on Financial Management of Parliament on Parliament of Republic of South Africa’s 2018/19 Annual Report (Announcements, Tablings and Committee Reports, 9 December 2019, p 5).","Kucutjungulwa kweMbiko weLikomidi leLimile Letindlu Totimbili weLulawulo lweTimali tePhalamende lomayelana neMbiko weMnyaka wePhalamende yaseRiphabhliki yaseNingizimu Afrika wanga-2018/19. (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-09 Ingongoni 2019, likh. le-5)",June
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Announcements, Tablings and Committee Reports, 5 December 2019, p 24).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekutfutsa weTemfundvo Lephakeme, Tesayensi Netheknoloji lomayelana neMibiko yeMnyaka wa-2018/19 weSikhwama saVelonkhe seTemakhono neMkhakha weTemfundvo neTikhungo letinemagunya eKucecesha (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-5 Ingongoni 2019, likh. le-24).",June
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Second Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 5 December 2019, p 4).","Kucutjungulwa kweMbiko weLikomidi leLibandla laVelonkhe leTekutfutsa weTekuhweba Netimboni lomayelana neKusebenta ngekweTetimali kweLitiko Letekuhweba Netimboni Netentfutfuko yeTemnotfo ngeKota yeSibili yeTetimali kanye neKungasebenti ngekweTimali kwemnyaka wetetimali wanga-2019/20 (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-5 Ingongoni 2019, likh. le-4).",June
"Consideration of Report of Standing Committee on Auditor-General on Integrated Annual Report of Auditor-General for financial year 2018/19 (Announcements, Tablings and Committee Reports, 4 December 2019, p 3).","Kucutjungulwa kweMbiko weLikomidi leLimile leMhlolimabhuku Jikelele lomayelana neMbiko weMnyaka Lohlanganisiwe weMhlolimabhuku Jikelele wemnyakatimali wanga-2018/19 (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-3 Ingongoni 2019, likh. le-3).",June
MOTIONS (Notice given previously):,TISHUKUMISO (Satiso sikhishwe phambilini):,June
"See p 94-96 (Ms R C Adams, Mr S Ngcobo, Ms M S Khawula, Ms N G Adoons, Mr S L Ngcobo, Ms T Breedt, Ms T Mgweba, Mr W M Thring, Mr N L S Kwankwa, Mr M L Shelembe, Mrs E N Ntlangwini, Ms F A Masiko, Mr S H Mbuyane, Ms A S Hlongo, M.Gen O S Terblanche, Mr M G E Hendricks, Mr T S Mpanza, Mr P P Keetse, Ms R C Adams).","Buka emakh. 94-96 (Mk. R C Adams, Mnu. S Ngcobo, Mk. M S Khawula, Mk. N G Adoons, Mnu. S L Ngcobo, Mk. T Breedt, Mk. T Mgweba, Mnu. W M Thring, Mnu. N L S Kwankwa, Mnu. M L Shelembe, Nkkt. E N Ntlangwini, Mk. F A Masiko, Mnu. S H Mbuyane, Mk. A S Hlongo, M.Gen O S Terblanche, Mnu. M G E Hendricks, Mnu. T S Mpanza, Mnu. P P Keetse, Mk. R C Adams).",June
APPENDIXES,TELEKO,June
PETITIONS REFERRED TO COMMITTEES,TICELOSIKHALO LETENDLULISELWE KUMAKOMIDI,June
"Petition from the residents of the City of Ekurhuleni, calling on the Assembly to investigate the chronic inadequate refuse removal services in their area (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Sicelosikhalo sebahlali beLidolobhakati lase-Ekurhuleni, bacela Libandla laVelonkhe kutsi liphenye ngekufadabala kwetekutfutfwa kwemfucuta endzaweni yabo (Mk. H Ismail) – (Likomidi leSigungu saVelonkhe leTekubusa Ngekubambisana Netendzabuko – Libandla laVelonkhe).",June
"Petition from the residents of Kokomeng and neighbouring villages, calling on the Assembly to investigate and prioritize the re-opening of the Kokomeng police station (Mr I S Seitlholo) – (Portfolio Committee on Police – National Assembly).","Sicelosikhalo sebahlali Kokomeng netigodzi letibomakhelwane, bacela Libandla kutsi liphenye futsi licale ngekuphindza kuvulwa kwesikolwa kwesiteshi semaphoyisa saseKokomeng (Mnu. I S Seitlholo) – (Likomidi leLibandla laVelonkhe leTemaphoyisa – Libandla laVelonkhe).",June
"Petition from the residents of Bredell, Pomona, Brentwood Park and Glen Marais (ward 25), City of Ekurhuleni, calling on the Assembly to investigate the collapse of the reliable supply of electricity in their areas (Ms H Ismail) – (Portfolio Committee on Cooperative Governance and Traditional Affairs – National Assembly).","Sicelosikhalo sebahlali baseBredell, Pomona, Brentwood Park naseGlen Marais (beliwadi le-25),  beLidolobhakati lase-Ekurhuleni, bacela Libandla kutsi liphenye ngekufadabala kwekuphakelwa kwagezi ngalokwetsembekile etindzaweni tabo (Mk. H Ismail) – (Likomidi leSigungu saVelonkhe leTekubusa Ngekubambisana Netendzabuko – Libandla laVelonkhe).",June
"Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high rentals paid by tenants of council-owned flats (Ms H Ismail) – (Portfolio Committee on Human Settlements, Water and Sanitation – National Assembly).","Sicelosikhalo lesibuya kubahlali base-Actonville, eBenoni, bacela Libandla laVelonkhe kutsi liphenye ngemali yekurenta lebita kakhulu lekhokhwa bantfu labarenta tindlu telikhansela (Mk. H Ismail) – (Likomidi leLibandla laVelonkhe leTekuhlaliswa Kwebantfu, Emanti Nekuhanjiswa Kwendle – Libandla laVelonkhe).",June
BILLS INTRODUCED AND TO BE REFERRED TO COMMITTEES,IMITSETFOSIVIVINYO LEYETFULIWE FUTSI LETAWENDLULISELWA KUMAKOMIDI,June
Division of Revenue Amendment Bill [B 9 - 2020] (National Assembly – proposed sec 76).,Umtsetfosivivinyo weKwehlukaniswa kweTimali taHulumende [B 9 - 2020] (Libandla laVelonkhe – sigaba se-76 lesiphakanyisiwe).,June
Adjustments Appropriation Bill [B 10 - 2020] (National Assembly – proposed sec 77).,Umtsetfosivivinyo Wekulungiswa Tekwabiwa kweTimali taHulumende [B 10 – 2020] (Libandla laVelonkhe – sigaba se-77 lesiphakanyisiwe).,June
BILLS REFERRED TO JOINT TAGGING MECHANISM (JTM),IMITSETFOSIVIVINYO LENDLULISELWE KUMAKOMIDI LAYIHLELAKO (I-JTM),June
Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – proposed sec 76).,Umtsetfosivivinyo weKulungisa Emalungelo eBuniyo beMhlaba [B 6 - 2020] (Libandla laVelonkhe – sigaba se-76 lesiphakanyisiwe).,June
Division of Revenue Amendment Bill [B 9 - 2020] (National Assembly – proposed sec 76).,Umtsetfosivivinyo weKwehlukaniswa kweTimali taHulumende [B 9 - 2020] (Libandla laVelonkhe – sigaba se-76 lesiphakanyisiwe).,June
Adjustments Appropriation Bill [B 10 - 2020] (National Assembly – proposed sec 77).,Umtsetfosivivinyo Wekulungiswa Tekwabiwa kweTimali taHulumende [B 10 – 2020] (Libandla laVelonkhe – sigaba se-77 lesiphakanyisiwe).,June
Disaster Management Tax Relief Bill [B 11 - 2020] (National Assembly – proposed sec 77).,Umtsetfosivivinyo Wekuhhamuleka kuteMtselo Wekulawulwa Kwetetinhlekelele [B 11 – 2020] (Libandla laVelonkhe – sigaba se-77 lesiphakanyisiwe).,June
Disaster Management Tax Relief Administration Bill [B 12 - 2020] (National Assembly – proposed sec 75).,Umtsetfosivivinyo Wekuhhamuleka kuteMtselo Wekulawulwa neteKuphatfwa Kwetetinhlekelele [B 11 – 2020] (Libandla laVelonkhe – sigaba se-77 lesiphakanyisiwe).,June
BILLS REFERRED TO COMMITTEES,IMITSETFOSIVIVINYO LEYENDLULISELWE KUMAKOMIDI,June
"Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 7) – (Portfolio Committee on Justice and Correctional Services – National Assembly).","Umtsetfosivivinyo weteKuvikelwa kweLwatiso lweMbuso [B 6H – 2010] (Libandla laVelonkhe – sigaba se-75) nemiva yaMengameli mayelana  nekuhambisana nemtsetfosisekelo kwaloMtsetfosivivinyo njengobe wetfuliwe kuye (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-12 Inhlaba 2020, likh. le-7) – (Likomidi leLibandla laVelonkhe leTebulungiswa Nekucondziswa Kwesimilo – Libandla laVelonkhe).",June
"Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 12 June 2020, p 2) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly).","Umtsetfosivivinyo weTekuchibela Temikhicito yeTjwala [B 10H – 2016] (Libandla laVelonkhe – sigaba se-75) nemiva yaMengameli mayelana  nekuhambisana nemtsetfosisekelo kwaloMtsetfosivivinyo njengobe wetfuliwe kuye (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-12 Inhlaba 2020, likh. 2) – (Likomidi leLibandla laVelonkhe Letekulima Netekutfutfukiswa Kwentindzawo Tasemaphandleni Netingucuko Kutemhlaba – Libandla laVelonkhe).",June
"Performers’ Protection Amendment Bill [B 24B - 2016] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 22 June 2020, p 2) – (Portfolio Committee on Trade and Industry – National Assembly).","Umtsetfosivivinyo weKuvikela Emaciko [B 24B - 2016] (Libandla laVelonkhe – sigaba se-75) nemiva yaMengameli mayelana  nekuhambisana nemtsetfosisekelo kwaloMtsetfosivivinyo njengobe wetfuliwe kuye (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-22 Inhlaba 2020, likh. le-2) – (Likomidi leLibandla laVelonkhe Letekuhwebelana Netetimboni– Libandla laVelonkhe).",June
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76) – (Select Committee on Security and Justice – National Council of Provinces).,Umtsetfosivivinyo weteTinkantolo teSintfu [B 1B – 2017] (Libandla laVelonkhe – sigaba se-76) – (Likomidi leMkhandlu waVelonkhe weTifundza leTekuphepha neTebulungiswa – Umkhandlu waVelonkhe weTifundza).,June
"Copyright Amendment Bill [B 13B - 2017] (National Assembly – sec 75) and the President’s reservations on the constitutionality of the Bill as submitted to him (Announcements, Tablings and Committee Reports, 22 June 2020, p 2) – (Portfolio Committee Trade and Industry – National Assembly).","Umtsetfosivivinyo weKuchibela teMalungelokucamba [B 13B - 2017] (Libandla laVelonkhe – sigaba se-75) nemiva yaMengameli mayelana  nekuhambisana nemtsetfosisekelo kwaloMtsetfosivivinyo njengobe wetfuliwe kuye (Timemetelo, Tetfulo neMibiko yeLikomidi, mhla ti-22 Inhlaba 2020, likh. 2) – (Likomidi leLibandla laVelonkhe Letekuhwebelana Netetimboni– Libandla laVelonkhe).",June
Road Accident Benefit Scheme Bill [B 17B – 2017] (National Assembly – sec 75) – (Portfolio Committee on Transport – National Assembly).,Umtsetfosivivinyo weSikimu seTinzuzo teteTingoti teMgwaco [B 17B – 2017 (Libandla laVelonkhe – sigaba-75) – (Likomidi leLibandla laVelonkhe leTetitfutsi – Libandla laVelonkhe).,June
International Crimes Bill [B 37 – 2017] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Umtsetfosivivinyo weTebugebengu beMave Emhlaba [B 37 - 2017] (Libandla laVelonkhe – sigaba se-75) – (Likomidi leLibandla laVelonkhe  Letebulungiswa Nekucondziswa Kwesimilo – Libandla laVelonkhe).,June
"Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Umtsetfosivivinyo weKuchibela teTinkampani teTikhumulo teTindzizamshini [B 5B – 2018] (Libandla laVelonkhe – sigaba se-75) – (Libandla leMkhandlu waVelonkhe weTifundza leteTitfutsi, teMisebenti Yahulumende Nekuphatsa, Temisebenti Yesive Nesakhiwonchanti – Umkhandlu waVelonkhe weTifundza).",June
"Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75) – (Select Committee on Transport, Public Service and Administration, Public Works and Infrastructure – National Council of Provinces).","Umtsetfosivivinyo weKuchibela teKuhamba kweTindzizamshini neTinsita teKutikhomba Indlela [B 6B – 2018] (Libandla laVelonkhe – sigaba se-75) – (Libandla leMkhandlu waVelonkhe weTifundza Letetitfutsi, Temisebenti Yahulumende Nekuphatsa, Temisebenti Yesive Nesakhiwonchanti – Umkhandlu waVelonkhe weTifundza).",June
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76) – (Select Committee on Health and Social Services – National Council of Provinces).,Umtsetfosivivinyo weKuchibela teLusito lweTenhlalakahle [B 8B – 2018] (Libandla laVelonkhe – sigaba se-75) – (Likomidi leMkhandlu waVelonkhe weTifundza leTemphilo Netemisebenti Yetenhlalakahle – Umkhandlu waVelonkhe weTifundza).,June
Prevention of Hate Crimes and Hate Speech Bill [B 9 – 2018] (National Assembly – sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Umtsetfosivivinyo weTekuvikela Tebugebengu beNtondvo neNkhulumo leneNtondvo [B 9 - 2018] (Libandla laVelonkhe – sigaba se-75) – (Likomidi leLibandla laVelonkhe  leTebulungiswa neKucondziswa kweSimilo – Libandla laVelonkhe).,June
