eng,ven,source
"Agreement between the Government of the Republic of South Africa and the International Centre for Genetic Engineering and Biotechnology (ICGEB) on the Establishment of an International Centre for Genetic Engineering and Biotechnology (ICGEB) Component in the Republic of South Africa (Tabled on 18 September 2019) (NA: Referred to Portfolio Committee on Higher Education, Science and Technology on 19 September 2019 - reported on 5 December 2019 – approved on 10 March 2020) (NCOP: Referred to Select Committee on Education and Technology, Sports, Arts and Culture on 19 November 2019 – reported on 26 May 2020).","Thendelano vhukati ha Muvhuso wa Riphabuḽiki ya Afrika Tshipembe na Senthara ya Dzitshaka ya zwa Vhuinzhiniere ha Dzhenetiki na Bayothekhinoḽodzhi (ICGEB) nga ha u Thomiwa ha Tshipiḓa tsha Tshiimiswa tsha Senthara ya Dzitshaka ya zwa Vhuinzhiniere ha Dzhenetiki na Bayothekhinoḽodzhi (ICGEB) kha Riphabuḽiki ya Afrika Tshipembe (Yo swikiswa ṱafulani nga ḽa 18 Khubvumedzi 2019). (NA: Ya fhiriselwa kha Komiti ya Phothifoḽio nga ha Pfunzo ya Nṱha, Saintsi na Thekhinoḽodzhi nga ḽa 19 Khubvumedzi 2019 – ya vhigwa ngayo nga ḽa 5 Nyendavhusiku 2019 – ya themendelwa nga ḽa  10 Ṱhafamuhwe 2020) (NCOP: Ya Fhiriselwa kha Komiti ya NCOP nga ha Pfunzo na Thekhinoḽodzhi, Mitambo, Vhutsila na Mvelele nga ḽa 19 Lara 2019 – yo vhigiwa nga ḽa 26 Shundunthule 2020).",June
"Ratification of the Agreement between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Africa on the IBSA Fund for the Alleviation of Poverty and Hunger (signed 17 October 2017) (Tabled on 18 October 2019) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 22 October 2019) (NCOP: Referred to Select Committee on Security and Justice on 24 October 2019).","2. Khwaṱhisedzo ya Thendelano vhukati ha Muvhuso wa Riphabuḽiki ya India, Muvhuso wa zwa Federaḽa wa Riphabuḽiki ya Brazil na Muvhuso wa Riphabuḽiki ya Afrika Tshipembe kha Tshikwama tsha IBSA tsha Phungudzo ya Vhushai na Nḓala (yo sainwa nga ḽa 17 Tshimedzi 2017) (Yo swikiswa ṱafulani nga ḽa 18 Tshimedzi 2019) (NA: Ya fhiriselwa kha Komiti ya Phothifoḽio nga ha Vhushaka ha Dzitshaka na Vhushumisani nga ḽa 22 Tshimedzi 2019) (NCOP: Ya fhiriselwa kha Komiti ya NCOP nga ha Tsireledzo na Vhulamukanyi nga ḽa 24 Tshimedzi 2019).",June
Agreement between the Government of the Republic of South Africa and the European Atomic Energy Community (EURATOM) for Co-operation in the Peaceful Uses of Nuclear Energy (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Mineral Resources and Energy on 18 November 2019).,3. Thendelano vhukati ha Muvhuso wa Riphabuḽiki ya Afrika Tshipembe na European Atomic Energy Community (EURATOM) ya Vhushumisani kha u Shumisa nga Mulalo ha Fulufulu ḽa Nuklia (Yo swikiswa ṱafulani nga ḽa 14 Lara 2019) (NA:  Ya fhiriselwa kha Komiti ya Phothifoḽio nga ha Zwiko zwa Minerala na Fulufulu nga ḽa 18 Lara 2019).,June
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Mutual Legal Assistance in Criminal Matters (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 2020 – approved on 17 June 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,4.  Thendelano vhukati ha Muvhuso wa Riphabuḽiki ya Afrika Tshipembe na Muvhuso wa United Mexican States nga ha Thuso ya Mulayo wa Vhugevhenga kha Masia Oṱhe (Yo Swikiswa Ṱafulani nga ḽa 5 Ṱhafamuhwe 2020). (NA: Ya fhiriselwa kha Komiti ya Phothifoḽio nga ha Vhulamukanyi na Tshumelo dza Vhululamisi nga ḽa 9 Ṱhafamuhwe 2020 – ya vhigiwa nga ḽa 29 Shundunthule 2020 – ya themendelwa nga ḽa 17 Fulwi 2020) (NCOP: Wa fhiriselwa kha Komiti ya NCOP nga ha Tsireledzo na Vhulamukanyi nga ḽa 10 Ṱhafamuhwe 2020 – yo vhigiwa nga ḽa 1 Fulwi  2020).,June
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Extradition (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 202 0– approved on 17 June 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,5. Thendelano vhukati ha Muvhuso wa Riphabuḽiki ya Afrika Tshipembe na Muvhuso wa United Mexican States nga ha U isa Tshigevhenga kha shango ḽe tsha tshinya hone (Yo Swikiswa Ṱafulani nga ḽa 5 Ṱhafamuhwe 2020) (NA: Ya fhiriselwa kha Komiti ya Phothifoḽio nga ha Vhulamukanyi na Tshumelo dza Vhululamisi nga ḽa 9 Ṱhafamuhwe 2020 – yo vhigiwa nga ḽa 29 Shundunthule 2020 – ya themendelwa nga ḽa 17 Fulwi 2020) (NCOP: Ya fhiriselwa kha Komiti ya NCOP nga ha Tsireledzo na Vhulamukanyi nga ḽa 10 Ṱhafamuhwe 2020 – yo vhigiwa nga ḽa 1 Fulwi 2020).,June
African Charter on Statistics (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Public Service and Administration on 9 March 2020).,6. Tshata ya Afrika nga ha Dzimbalombalo (Yo Swikiswa Ṱafulani nga ḽa 5 Ṱhafamuhwe 2020) (NA: Ya fhiriselwa kha Komiti ya Phothifoḽio nga ha Tshumelo ya Tshitshavha na Ndaulo nga ḽa 9 Ṱhafamuhwe 2020).,June
Treaty of Amity and Cooperation (TAC) in South East Asia (Tabled on 18 March 2020) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 26 March 2020 – reported on 11 June 2020 – approved on 17 June 2020)(NCOP: Referred to Select Committee on Security and Justice on 29 June 2020) .,7. Thendelano ya Vhukonani na Vhushumisani (TAC) ngei Tshipembe Vhubvaḓuvha ha Asia (Yo swikiswa ṱafulani nga ḽa 18 Ṱhafamuhwe 2020) (NA: Yo fhiriselwa  kha Komiti ya Phothifoḽio nga ha Vhushaka ha Dzitshaka na Vhushumisani nga ḽa 26 Ṱhafamuhwe 2020 – ya vhigiwa ngayo nga ḽa 11 Fulwi 2020 – ya themendelwa nga ḽa 17 Fulwi 2020) (NCOP: Ya fhiriselwa kha Komiti ya NCOP  nga ha Tsireledzo na Vhulamukanyi nga ḽa 29 Fulwi 2020).,June
QUESTIONS:,MBUDZISO:,June
Deputy President.,Mufarisa Muphuresidennde.,June
FURTHER BUSINESS,MAṄWE MAFHUNGO,June
ORDERS OF THE DAY:,MITEVHE YA ḒUVHA:,June
"Consideration of Report of Portfolio Committee on Trade and Industry on Oversight visit to Gauteng (Announcement, Tablings and Committee Reports, 23 June 2020, p 17).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Mbambadzo na Nḓowetshumo kha madalo a Vhulavhelesi ngei Gauteng (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 23 Fulwi 2020, s ḽa 17).",June
"Consideration of Report of Portfolio Committee on Trade and Industry on Oversight visit to Western Cape (Announcement, Tablings and Committee Reports, 23 June 2020, p 4).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Mbambadzo na Nḓowetshumo kha madalo a ngei Western Cape (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 23 Fulwi 2020, s ḽa 4).",June
"Consideration of Report of Portfolio Committee on Justice and Correctional Services on Notices determining remuneration of Public Protector and Commissioners of South African Human Rights Commission with effect from 1 April 2019 (Announcement, Tablings and Committee Reports, 22 June 2020, p 15).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Vhulamukanyi na Tshumelo dza Vhululamisi nga ha Nḓivhadzo dza u ta muholo wa Mutsireledzi wa Tshitshavha na Khomishinari dza Khomishini ya Pfanelo dza Vhathu ya Afrika Tshipembe u bva nga ḽa 1 Lambamai 2019 (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 22 Fulwi 2020, s ḽa 15).",June
"Consideration of Report of Joint Standing Committee on Defence on Letters from the President on Employment of South African National Defence Force in Mozambique Channel, Democratic Republic of Congo, to Wuhan City in Hubei Province of People’s Republic of China, and in support of South African Police Service and other State Departments (Announcement, Tablings and Committee Reports, 19 June 2020, p 3).","U vhalululwa ha Muvhigo wa Komiti ya Tshoṱhe yo Ṱanganelaho nga ha Vhupileli nga Marifhi a bvaho kha Muphuresidennde nga Mushumo wa Mmbi ya Vhupileli ya Afrika Tshipembe ngei kha Mozambique Channel, Democratic Republic of Congo, u ya Ḓoroboni ya Wuhan ngei Vunduni ḽa Hubei ḽa People’s Republic of China, na u tikedza vha Tshumelo ya Mapholisa ya Africa Tshipembe na miṅwe Mihasho ya Muvhuso (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 19 Fulwi 2020, s ḽa 3).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition from the residents of Boksburg, Ekurhuleni metropolitan municipality, calling on the Assembly to investigate the numerous power outages (submitted by Mr M Waters, MP) and Petition from the residents of Germiston, Ekurhuleni metropolitan municipality calling on the Assembly to investigate the numerous power outages (submitted by Mr M Waters, MP)  (Announcement, Tablings and Committee Reports, 18 June 2020, p 167).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Vhuvhusi ha Vhushumisani na zwa Sialala nga Phethishini i bvaho kha vhadzuli vha Boksburg, kha masipala muhulwane wa Ekurhuleni, vha itaho khuwelelo kha Buthano uri ḽi ṱoḓisise u khauwa ha muḓagasi ho vhalaho (yo ḓiswa nga Vho M Waters, MP) na Phethishini i bvaho kha vhadzuli vha Germiston, kha masipala muhulwane wa Ekurhuleni vha itaho khuwelelo kha Buthano uri ḽi ṱoḓisise u ṱoḓisisa u khauwa ha muḓagasi ho vhalaho (yo ḓiswa nga Vho M Waters, MP)  (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 18 Fulwi 2020, s ḽa 167).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition from the residents of Alberton, calling on the Assembly to investigate public participation and legislative compliance in the proposed housing development in Alberton (submitted by Mr D Bergman, MP) (Announcement, Tablings and Committee Reports, 18 June 2020, p 166).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Vhuvhusi ha Vhushumisani na zwa Sialala nga Phethishini i bvaho kha vhadzuli vha Alberton, vha itaho khuwelelo kha Buthano uri ḽi ṱoḓisise nga ha u shela mulenzhe nga tshitshavha na u tevhedza mulayo kha mveledziso ya vhudzulo yo dzinginywaho ngei Alberton (yo ḓiswa nga Vho D Bergman, MP) (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 18 Fulwi 2020, s ḽa 166).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition relating to Glen Marais Sub-Station Fire Incident under City of Ekurhuleni (Announcement, Tablings and Committee Reports, 18 June 2020, p 163).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Vhuvhusi ha Vhushumisani na zwa Sialala nga Phethishini i elanaho na Tshiwo tsho iteaho Tshiṱitshini tshiṱuku tsha Mulilo tsha Glen Marais tshi re fhasi ha Ḓorobo ya Ekurhuleni (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 18 Fulwi 2020, s ḽa 163).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition from the residents of Ward 37, Alberton North, Ekurhuleni, calling on the Assembly to investigate the illegal occupation of stand 1/1224 number 42, Second Avenue, Alberton North (submitted by Mr D Bergman, MP) (Announcement, Tablings and Committee Reports, 18 June 2020, p 160).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Vhuvhusi ha Vhushumisani na zwa Sialala nga Phethishini i bvaho kha vhadzuli vha Wadi ya 37, Alberton North, Ekurhuleni, vha itaho khuwelelo kha Buthano uri ḽi ṱoḓisise u ṱoḓisisa nga u dzula hu si ho mulayoni kha tshiṱentsi tsha 1/1224 nomboro ya 42, Second Avenue, Alberton North (yo ḓiswa nga Vho D Bergman, MP) (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 18 Fulwi 2020, s ḽa 160).",June
"Consideration of Report of Portfolio Committee on Cooperative Governance and Traditional Affairs on Petition pertaining to Service Delivery in Nemallpius Ext 22, under City of Tshwane (Announcement, Tablings and Committee Reports, 18 June 2020, p 157).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Vhuvhusi ha Vhushumisani na zwa Sialala nga Phethishini i elanaho na Nḓisedzo ya Tshumelo ngei Nemallpius Ext 22, fhasi ha Ḓorobo ya Tshwane (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 18 Fulwi 2020, s ḽa 157).",June
"Consideration of Report of Portfolio Committee on Employment and Labour on Second Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcement, Tablings and Committee Reports, 18 June 2020, p 120).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha u Thola na Mishumo nga Muvhigo wa Kotara ya Vhuvhili malugana na kushumele kwa Muhasho wa u Thola na Mishumo na zwiimiswa kha u swikela zwipikwa zwa tshiṱirathedzhi zwa 2019/20 (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 18 Fulwi 2020, s ḽa 120).",June
"Consideration of Report of Portfolio Committee on Employment and Labour on First Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcement, Tablings and Committee Reports, 18 June 2020, p 81).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha u Tholiwa na Mishumo nga Muvhigo wa Kotara ya u Thoma malugana na kushumele kwa Muhasho wa u Tholiwa na Mishumo na zwiimiswa kha u swikela zwipikwa zwa tshiṱirathedzhi zwa 2019/20 (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 18 Fulwi 2020, s ḽa 81).",June
"Consideration of Report of Portfolio Committee on Employment and Labour on Third Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2018/19 (Announcement, Tablings and Committee Reports, 18 June 2020, p 12).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha u Tholiwa na Mishumo nga Muvhigo wa Kotara ya Vhuraru malugana na kushumele kwa Muhasho wa u Tholiwa na Mishumo na zwiimiswa kha u swikela zwipikwa zwa tshiṱirathedzhi zwa 2018/19 (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 18 Fulwi 2020, s ḽa 12).",June
"Consideration of Report of Portfolio Committee on Employment and Labour on Oversight visit to Compensation Fund Head-Quarters (Announcement, Tablings and Committee Reports, 18 June 2020, p 3).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha u Tholiwa na Mishumo nga madalo a Vhulavhelesi kha Ofisi Khulwane dza Tshikwama tsha Ndiliso (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 18 Fulwi 2020, s ḽa 3).",June
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Third Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcement, Tablings and Committee Reports, 19 May 2020, p 3).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Mbambadzo na Nḓowetshumo kha Mihasho ya Mbambadzo na Nḓowetshumo na kwa Mveledziso ya Ikonomi na Kushumele Ku si kwa Masheleni na zwa Masheleni kha Kotara ya Vhuraru ya ṅwaha wa muvhalelano wa 2019/20  (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 19 Shundunthule 2020, s ḽa 3).",June
"Consideration of Report of Portfolio Committee on International Relations and Cooperation on Oversight visit on pilot project for acquisition of office accommodation for South African Permanent Mission to United Nations and Consulate-General in New York, United States of America (Announcements, Tablings and Committee Reports, 16 March 2020, p 11).","U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Vhushaka ha Dzitshaka na Vhushumisani nga madalo a  kha thandela ya u thoma ya u wanwa ha ofisi ya vhudzulo ya Muambasada wa Tshoṱhe wa Afrika Tshipembe kha Vhuthihi ha Dzitshaka na Muimeleli Muhulwane ngei New York, United States of America (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 16 Ṱhafamuhwe 2020, s ḽa 11).",June
"Decision of Question on Report of Portfolio Committee on Higher Education, Science and Technology on 2019/20 First Quarter financial and service delivery performance report of Department of Higher Education and Training (Announcements, Tablings and Committee Reports, 5 December 2019, p 64).","16. U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Pfunzo ya Nṱha, Saintsi na Thekhinoḽodzhi kha muvhigo wa Mashumele a nḓisedzo ya tshumelo na zwa masheleni a Kotara ya U thoma ya 2019/20 a Muhasho wa Pfunzo na Vhupfumbudzi (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 5 Nyendavhusiku 2019, s ḽa 64).",June
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department Public Service and Administration, Entities and Public Service Commission (Announcements, Tablings and Committee Reports, 11 March 2020, p 30).","17. U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Tshumelo ya Tshitshavha na Ndaulo nga mashumele a kotara ya Vhuvhili na ya Vhuraru a ṅwaha wa muvhalelano wa 2019/20: Muhasho wa Tshumelo ya Tshitshavha na Ndaulo, Zwiimiswa na Khomishini ya Tshumelo ya Tshitshavha (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 11 Ṱhafamuhwe 2020, s ḽa 30).",June
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Statistics South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 23).","18. U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Tshumelo ya Tshitshavha na Ndaulo nga mashumele a kotara ya Vhuvhili na ya Vhuraru a ṅwaha wa muvhalelano wa 2019/20: Vha Dzimbalombalo vha Afrika Tshipembe (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 11 Ṱhafamuhwe 2020, s ḽa 23).",June
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 15).","19. U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Tshumelo ya Tshitshavha na Ndaulo nga mashumele a kotara ya Vhuvhili na ya Vhuraru a ṅwaha wa muvhalelano wa 2019/20: Muhasho wa Vhupulani, u Vhea Iṱo na u Ela na Dzina ḽa u Vhambadza ḽa Afrika Tshipembe (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 11 Ṱhafamuhwe 2020, s ḽa 15).",June
"Consideration of Report of Portfolio Committee on Basic Education on Petition from the residents of Dryharts village, calling on the Assembly to investigate the re-opening of the Molehabangwe Middle School, submitted by Mr I S Seitlholo, MP (Announcements, Tablings and Committee Reports, 26 February 2020, p 38).","20. U vhalululwa ha Muvhigo wa Komiti ya Phothifoḽio nga ha Pfunzo ya Mutheo nga Phethisheni i bvaho kha vhadzuli vha kusini kwa Dryharts, vha itaho khuwelelo kha Buthano uri ḽi ṱoḓisise nga u vulwa hafhu ha Molehabangwe Middle School, wo ḓiswa nga Vho I S Seitlholo, MP (Nḓivhadzo, Maswikiswa Ṱafulani na Mivhigo ya Komiti, 26 Luhuhi 2020, s ḽa 38).",June
