eng,nbl,source
Independent Electricity Management Operator Bill [B 14 - 2019] (National Assembly – sec 76) – (Portfolio Committee on Mineral Resources and Energy – National Assembly).,UmThethomlingwa webaLawuli abaziJameleko bokuPhathwa kweGezi [i-B 14 – 2019] (iNdlu yesiBethamthetho seNarha – isig 76) – (iKomidi yesiBethamthetho seNarha yezeZenjiwa naMandla).,September
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice – National Council of Provinces).,IsiKhibelelo somThathomlingwa wesiQuntelo sezakhamuzi neeNdaba zoBulelesi (amaCala wezoMseme) [i-B 22B - 2019] (iNdlu yesiBethamthetho seNarha – isig 75) – (IKomidi eKhethekileko yesiBethamthetho seNarha yezokuVikela noBulungiswa – umKhandlu weNarha oNgamele iimFunda).,September
Economic Regulation of Transport Bill [B 1 - 2020] (National Assembly– sec 76) – (Portfolio Committee on Transport – National Assembly).,UmThethomlingwa wokuLawula umNotho wezokuThutha [i-B 1 - 2020] (iNdlu yesiBethamthetho seNarha–isig.76) – (iKomidi yesiBethamthetho seNarha yezokuThutha).,September
Auditing Profession Amendment Bill [B 2 - 2020] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,IsiKhibelelo somThethomlingwa wezokuHlolwa kweeNcwadi [i-B 2 - 2020] (iNdlu yesiBethamthetho seNarha –isig75) – (iKomodi yaSafuthi yesiBethamthetho seNarha).,September
Fiscal Responsibility Bill [B 5 - 2020] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,UmThethomlingwa omayelana nesiKhwama somSebenzi weNgeniso yeeMali [i-B 5 – 2020] (iNdlu yesiBethamthetho seNarha – isig – 76) (iKomidi yesiBethamthetho seNarha yezeeMali).,September
"Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – sec 76) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly) [Referred to National House of Traditional Leaders on 3 July 2020].","IsiKhibelelo somThethomlingwa wokuThuthukisa kwamaLungelo    wokuQhatjha iNarha [i-B 6 2020] (iNdlu yesiBethamthetho seNarha – isig 76) - (iKomidi yesiBethamthetho seNarha yezeLimo, ukuHlelwa kaButjha kweNarha nokuThuthukiswa kweeNdawo zamaKhaya - iNdlu yesiBethamthetho seNarha) [Udluliselwe ngeNdlini yeNarha yoBurholi beNdabuko mhla we-3 kuVelabahlinze 2020]",September
National Road Traffic Amendment Bill [B 7 - 2020] (National Assembly – sec 76) – (Portfolio Committee on Transport – National Assembly).,IsiKhibelelo somThethomlingwa omayelana neeThuthi zeNdlela zeNarha [i-B7-2020] (iNdlu yesiBethamthetho seNarha – isig esihlongozwako 76) – (iKomidi yesiBethamthetho seNarha - iNdlu yesiBethamthetho seNarha).,September
Transport Appeal Tribunal Amendment Bill [B 8 - 2020] (National Assembly – sec 76) – (Portfolio Committee on Transport – National Assembly).,IsiKhibelelo somThethomlingwa omayelana noMkhandlu wokuziBilayeza kwezeenThuthi [i-B8-2020] (iNdlu yesiBethamthetho seNarha – isig 76) – (iKomidi yasaFuthi yesiBethamthetho seNarha).,September
Disaster Management Tax Relief Bill [B 11B – 2020] (National Assembly – sec 77) – (Standing Committee on Finance – National Council of Provinces).,UMthethomlingwa weLawulo loMthelo wesiBonelelo seHlekelele [i-B 11B – 2020] (INdlu yesibethamthetho seNarha– isig 77) – (iKomidi yasaFuthi yesiBethamthetho seNarha yezeMali – iNdlu yoMkhandlu weNarha oNgamele iiMfunda).,September
Disaster Management Tax Relief Administration Bill [B 12B – 2020] (National Assembly – sec 75) – (Standing Committee on Finance – National Council of Provinces).,UMthethomlingwa weLawulo lokuLawula uMthelo wesiBonelelo seHlekelele [i-B 12B – 2020] (iNdlu yesiBethamthetho seNarha – isig 75) – (iKomidi yesiBethamthetho seNarha yezeMali – iNdlu yoMkhandlu weNarha oNgamele iiMfunda).,September
Public Finance Management Amendment Bill [B 13 - 2020] (National Assembly – sec 76) – (Standing Committee on Finance - National Assembly).,IsiKhibelelo somThethomlingwa wokuPhathwa kweeMali zomPhakathi [i-B 13 – 2020] (iNdlu yesiBethamthetho seNarha isig 76 esihlongozwako) – iKomidi yasaFuthi yesiBethamthetho seNarha yezeMali).,September
Employment Equity Amendment Bill [B 14 - 2020] (National Assembly – sec 75) – (Portfolio Committee on Employment and Labour – National Assembly).,IsiKhibelelo somThethomlingwa wokuQhatjha ngokuLingana [i-B14 – 2020] (iNdlu yesiBethamthetho seNarha – isig esihlongozwako 76) – (iKomidi yesiBethamthetho seNarha yezokuQhatjha nemiSebenzi).,September
Financial Sector Laws Amendment Bill [B 15 - 2020] (National Assembly – sec 75) – (Standing Committee on Finance - National Assembly).,IsiKhibelelo somThethomlingwa wemiThetho yomKhakha weeMali [i-B 15 - 2020] (iNdlu yesiBethamthetho seNarha – isigaba esihlongozwako 75) – (IKomidi yasaFuthi yezeeMali – iNdlu yesiBethamthetho seNarha).,September
Criminal Law (Sexual Offences and Related Matters) Amendment Act Amendment Bill [B 16  2020] (National Assembly – proposed sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,UMthetho wezoBulelesi (ubuLelelsi bezoMseme neeNdaba eziPhathelene nabo) IsiKhibelelo soMthethomlingwa wesiKhibelelo soMthetho [i-B 16  2020] (iNdlu yesiBethamthetho – isig esihlongozwako 75) – (iKomidi yasaFuthi yesiBethamthetho seNarha yezoBulungiswa nokuVuselelwa kwesiMilo).,September
Criminal and Related Matters Amendment Bill [B 17 - 2020] (National Assembly – proposed sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,Isikhibelelo soMthethomlingwa wezoBulelelsi kunye neeNdaba ezikhambisana nabo [i-B 17 - 2020] (iNdlu yesiBethamthetho seNarha isig esihlongozwako 75) – (IKomidi yesiBethamthetho seNarha Portfolio Committee on Justice and Correctional Services – National Assembly),September
Children’s Amendment Bill [B 18 - 2020] (National Assembly – proposed sec 76) – (Portfolio Committee on Social Development – National Assembly).,IsiKhibelelo soMthethomlingwa omayelana nabaNtwana [i-B 18 - 2020] (iNdlu yesiBethamthetho seNarha – isig esihlongozwako 76) – (iKomidi yesiBethamthetho seNarha soHlalakuhle nokuThuthukiswa kwaBantu).,September
Cannabis for Private Purposes Bill [B 19 - 2020] (National Assembly –proposed sec 75) – (Portfolio Committee on Justice and Correctional Services – National Assembly).,UMthethomlingwa omayelana nokuSetjenziswa kwangeQadi kweSangu [i-B 19 - 2020] (iNdlu yesiBethamthetho seNarha – isig esihlongozwako 75 – (iKomidi yesiBethamthetho seNarha yezoBulungiswa nokuVuselelwa kwesiMilo).,September
BILLS RETURNED TO ASSEMBLY FOR CONSIDERATION OF PRESIDENT’S RESERVATIONS,IMITHETHOMLINGWA EBUYISELWE NGENDLINI YESIBETHAMTHETHO SENARHA BONA IYOTJHEJWA MAYELANA NESIQUNTO ESIBEKWE NGUMONGAMELI,September
Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75).,UmThethomlingwa wokuVikelwa kweLwazi lomBuso [i-B 6H – 2010] (iNdlu yesiBethamthetho seNarha – isig 75).,September
Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75).,UmThethomlingwa womKhiqhizo woTjhwala [i-B 10B – 2016] (iNdlu yesiBethamthetho seNarha - isig 75).,September
Performers’ Protection Amendment Bill [B24B - 2016] (National Assembly – sec 75).,IsiKhibelelo somThethomlingwa sokuVikela abaLingisi [i-B24B – 2016] (iNdlu yesiBethamthetho seNarha – isig 75).,September
Copyright Amendment Bill [B13B - 2017] (National Assembly – sec 75).,IsiKhibelelo somThethomlingwa soBunikazi beLwazi [i-B13B -2017] iNdlu yesiBethamthetho seNarha – isig 75).,September
"BILLS, SUBJECT TO PROPOSED AMENDMENTS, PASSED BY NATIONAL COUNCIL OF PROVINCES AND RETURNED TO NATIONAL ASSEMBLY FOR CONCURRENCE","IMITHETHOMLINGWA, EHLONGOZWA BONA IKHITJELELWE, EPHASISWE MKHANDLU WENARHA ONGAMELE IIMFUNDA YABUYISELWA NGENDLINI YESIBETHAMTHETHO SENARHA UKWENZELA UKUVUMELANA",September
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) (introduced as Cybercrimes and Cybersecurity Bill [B 6 – 2017]).,UmThethomlingwa wobuLelesi bamaThungelelwano [i-B 6B – 2017] (iNdlu yesiBethamthetho seNarha – isig 75) (othulwe njengo mThethomlingwa wobuLelesi bamaThungelelwano nokuVikeleka kwamaThungelelwano [i-B 6 – 2017]).,September
BILLS PASSED BY NATIONAL ASSEMBLY AND TRANSMITTED TO NATIONAL COUNCIL OF PROVINCES FOR CONCURRENCE,IMITHETHOMLINGWA EPHASISWE YINDLU YESIBETHAMTHETHO SENARHA YADLULISELWA NGENDLINI YOMKHANDLU WENARHA ONGAMELA IIMFUNDA UKWENZELA UKUVUMELANA,September
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76).,1.     UmThethomlingwa wamaKhotho weNdabuko [i-B 1B – 2017] (iNdlu yesiBethamthetho seNarha isig 76).,September
Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75).,Isikhibelelo somThethomlingwa weKampani yamaDoyelo wezeMoyeni [i-B 5B – 2018] (iNdlu yesiBathamthetho seNarha – isig 75).,September
Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75).,IsiKhibelelo somThethomlingwa weenThuthu zeMoyeni nemiSebenzi yezokuPhapha [i-B 6B – 2018] (iNdlu yesiBathamthetho seNarha – isig 75).,September
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76).,IsiKhibelelo somThethomlingwa wokuSiza ngezeHlalakuhle [i-B 8B - 2018] (iNdlu yesiBethamthetho seNarha – isig 76).,September
Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76).,URhulumende wemaKhaya: IsiKhibelelo somThethomlingwa omayelana neZakhiwo zikaMasipala [i-B 19B – 2018] (iNdlu yesiBethemthetho seNarha – isig 76).,September
National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76).,IsiKhibelelo somThethomlingwa weNarha wezokuGembula [i-B 27B – 2018] (iNdlu yesiBethamthetho seNarha – isig 76).,September
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76).,IsiKhibelelo somThethomlingwa kokwaMukelwa kwemiTjhado yeSintu [i-B 12 - 2019] (iNdlu yesiBethamthetho seNarha – isig 76).,September
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75).,IsiKhibelelo somThethomlingwa seNdaba zobuLungiswa [i-B 13B - 2019] (iNdlu yesiBethamthetho seNarha – isig 75).,September
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75).,IsiKhibelelo somThethomlingwa wokuQuntelwa weeNdaba zeZakhamuzi namaCala (AmaCala wezomSeme) [i-B 22B - 2019] (iNdlu yesiBethamthetho seNarha – isig 75).,September
Disaster Management Tax Relief Bill [B 11B – 2020] (National Assembly – sec 77).,UMthethomlingwa weLawulo loMthelo wesiBonelelo seHlekelele [i-B 11B – 2020] (iNdlu yesiBethamthetho seNarha – isig 77).,September
Disaster Management Tax Relief Administration Bill [B 12B – 2020] (National Assembly – sec 75).,UMthethomlingwa weLawulo lokuLawula uMthelo wesiBonelelo seHlekelele [i-B 12B – 2020] (iNdlu yesiBethamthetho seNarha – isig 75),September
INTERNATIONAL AGREEMENTS,IIMVUMELWANO ZEENTJHABTJHABA,September
"Ratification of the Agreement between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Africa on the IBSA Fund for the Alleviation of Poverty and Hunger (signed 17 October 2017) (Tabled on 18 October 2019) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 22 October 2019) (NCOP: Referred to Select Committee on Security and Justice on 24 October 2019).","Ukuvumelana ngesiVumelwano hlangana noRhulumende we-Riphabhliki ye-India, noRhulumende weHlanganisela weRiphabhligi yeBrazil kunye noRhulumende weRiphabhliki yeSewula Afrika mayalana nesikhwama se-IBSA sokuLwisana neNdlala nomTlhago (esaTlikitlwa mhlaka 17 kuSewula 2019).  (saThulwa mhlaka 18 kuSewula 2019). (sadluliselwa kuKomidi yesiBethamthetho seNarha yeeNdaba zeenTjhabatjhaba nokuSebenzisana mhlaka-22 kuSewula 2019) (NgeNdlini yomKhandlu weNarha oNgamele iimFunda: sadluliselwa kuKomidi eKhethekileko yezeVikeleko nobuLungiswa mhlana zima-24 kuSewula 2019).",September
Agreement between the Government of the Republic of South Africa and the European Atomic Energy Community (EURATOM) for Co-operation in the Peaceful Uses of Nuclear Energy (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Mineral Resources and Energy on 18 November 2019).,IsiVumelwano hlangana koRhulumende weRiphabliki yeSewula Afrika ne-European Atomic Energy Community (i-EURATOM) mayelana nokuSebenzisana ukuSebenzisa ngokuThula kwaaMandla weNyutliya (esaThulwa mhlana amalanga ali-14 kuSinyikhaba 2019) (iNdlu yesiBethamthetho seNarha: sasidluliselwa eKomidini yesiBethamthetho seNarha neenTlabagelo zezeNjiwa naMandla mhlana amalanga ali-18 kuSinyikhaba 2019).,September
African Charter on Statistics (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Public Service and Administration on 9 March 2020).,Itjhatha ye-Afrika yemBalobalo (eyaThulwa mhlana amalanga ama-5 kuNtaka 2020) (iNdlu yesiBethamthetho seNarha: yaDluliselwa eKomidini yesiBethamthetho seNarha yemiSebenzi yomPhakathi nokuPhatha mhlana amalanga ali-9 kuNtaka 2020).,September
Treaty of Amity and Cooperation (TAC) in South East Asia (Tabled on 18 March 2020) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 26 March 2020 – reported on 11 June 2020 – approved on 17 June 2020)(NCOP: Referred to Select Committee on Security and Justice on 29 June 2020 – reported on 29 July 2020).,IsiVumelwano sobuDlelwano oBuhle nokuSebenzisana (i-TAC) e-Sewula yePumalanga yeAsia (Esathulwa mhlana amalanga ali-18 kuNtaka 2020) (iNdlu yesiBethamthetho seNarha: Sadluliselwa eKomidini yesiBethamthetho seNarha yezobuDlelwano beeNtjhabatjhaba nokuSebenzisana mhlana amalanga ama-26 kuNtaka 2020 – sabikwa mhlana amalanga ali-11 kuMgwengweni 2020 – saphasiswa umKhandlu weNarha oNgamele iimFunda mhlana amalanga ali-17 kuMgwengweni 2020): Sadluliselwa eKomidini eKhethekileko yezokuVikela nobuLungiswa mhlana amalanga ama-29 kuMgwengweni 2020 – sabikwa mhlana amalanga ama-29 kuVelabahlinze2020).,September
MOTIONS:,IINTJHUKUMISO:,September
"Draft resolution (Chief Whip of the Majority Party): That the House, notwithstanding Rule 139(1), which deals with questions for oral reply in respect of the Deputy President, permits that replies in respect of oral questions that were due to be given on 20 August 2020, be submitted in writing as agreed by the National Assembly Programme Committee.","Umtlamo wesisombululo (USosibebhe weHlangano yeNengi): Bona iNdlu, ngokungaphambuki kokusebena komThetho we-139(1), omayelana nokusebenza kokubuzwa kwemibuzo ephendulwa ngomlomo nguSekela Mongameli, onikele imvume yokuphendulwa kwemibuzo ebekulindeleke iphendulwe mhlaka 20 KuRhoboyi 2020, bona ilethwe ngomtlolo",September
MINISTERIAL STATEMENT:,IINTATIMENDE ZABOGQONGQOTJHE:,September
"Statement by the Minister of Sport, Arts and Culture on transformation of the Heritage landscape in South Africa.","IsiTatimende ngoNgqongqotjhe wezeMidlalo, ubuKgwari namaGugu mayelana nokuTjhugululwa kokundlaleka kwezamaGugu eSewula Afrika.",September
ORDERS OF THE DAY:,IMISEBENZI YELANGA:,September
"Consideration of Report of Portfolio Committee on Transport on Road Accident Benefit Scheme Bill [B 17B – 2017] (Announcements, Tablings and Committee Reports, 21 August 2020, p 15).","Ukutjhejwa komBiko weKomidi yezokuThutha yesiBethamthetho seNarha omayelana noMthethomlimgwa wesiKhwama sesiBonelelo sezeNdlela [i-17B – 2017] (iiMemezelo, iZethulo nemiBiko yeKomidi, 21 kuRhoboyi 2020, ikh. 15).",September
Second Reading – Road Accident Benefit Scheme Bill [B 17B – 2017] (National Assembly – sec 75) – (Minister of Transport).,Ukufundwa kwesibili koMthethomlingwa – uMthethomlingwa omayelana nesiKhwama sesiBonelelo sezeNdlela [i-B 17B – 2017] (iNdlu yesiBethamthetho – isig 75) – (uNgqongqotjhe wezeenThuthi).,September
"Consideration of Report of Portfolio Committee on Women, Youth and Persons with Disabilities on Filling of vacancies on National Youth Development Agency (NYDA) Board (Announcements, Tablings and Committee Reports, 6 August 2020, p 4).","Ukutjhejwa komBiko weKomidi yesiBethamthetho seNarha yeeNdaba zabAntu beNgubo, iLutjha nabAntu abaphila nokuKhubazeka ngombiko wokuZaliswa kweenkhundla zomsebenzi eBhodini yeNarha yeZiko lokuThuthukiswa kweLutjha i-(NYDA) (iiMemezelo, iZethulo nemiBiko yeKomidi, 6 Rhoboyi 2020, ikh 4).",September
