eng,zul,source
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75) – (Select Committee on Security and Justice – National Council of Provinces).,ISichiyelo SoMthethosivivinywa Wokuphelelwa Isikhathi Kwezindaba Zombango kanye Namacala Obugebengu (Amacala Ezocansi) [B 22B - 2019] (iKomidi loMkhandlu kaZwelonke weziFundazwe elibhekele Ezobulungiswa – isigaba 75) – uMkhandlu kaZwelonke WeziFundazwes).,August
Economic Regulation of Transport Bill [B 1 - 2020] (National Assembly– sec 76) – (Portfolio Committee on Transport – National Assembly).,UMthethosivivinywa Wokulawula Kwezomnotho Wezokuthutha [B 1 - 2020] (isiShayamthetho siksZwelonke – isigabac 76) – (iKomidi lesiShayamthetho sikaZwelonke elibhekele Ezokuthutha– isiShayamthetho sikaZwelonke).,August
Auditing Profession Amendment Bill [B 2 - 2020] (National Assembly – sec 75) – (Standing Committee on Finance – National Assembly).,ISichibiyelo soMthethosivivinywa Womsebenzi Wokuchwaninga Amabhuku [B 2 - 2020] (isiShayamthetho siksZwelonke – isigaba 75) – (IKomidi Elingaguquki elibhekele EzeziMali – isiShayamthetho sikaZwelonke).,August
Fiscal Responsibility Bill [B 5 - 2020] (National Assembly – sec 76) – (Standing Committee on Finance – National Assembly).,UMthethosivivinywa Wokuzibophezela Kwezezimali [B 5 - 2020] iaiShayamthetho sikaZwelonke – isigaba 76) – (iKomidi Elngaguquki elibhekele Ezezimali –isiShayamthetho siksZwelonke).,August
"Upgrading of Land Tenure Rights Amendment Bill [B 6 - 2020] (National Assembly – sec 76) – (Portfolio Committee on Agriculture, Land Reform and Rural Development – National Assembly) [Referred to National House of Traditional Leaders on 3 July 2020].",Isichibiyelo soMthethosivivinywa Wezemigwaqo kaZwelonke [B6-2020] (iNdlu yesiShayamthetho kaZwelonke iKomidi lesiShayamthetho sikaZwelonke elibhekele Ezokuthutha– isiShayamthetho sikaZwelonke) – esihlongoziwe isigaba 76).,August
National Road Traffic Amendment Bill [B 7 - 2020] (National Assembly – sec 76) – (Portfolio Committee on Transport – National Assembly).,Isicibiyelo soMthethosivivinywa WeziNkundla Zokwedlulisa Amacala Ezokuthutha [B7-2020] (iNdlu yesiShayamthetho sikaZwelonke – esihlongoziwe isigaba 76).,August
Transport Appeal Tribunal Amendment Bill [B 8 - 2020] (National Assembly – sec 76) – (Portfolio Committee on Transport – National Assembly).,Isicibiyelo soMthethosivivinywa WeziNkundla Zokwedlulisa Amacala Ezokuthutha [B8-2020] (iNdlu yesiShayamthetho kaZwelonke – esihlongoziwe isigaba 76).,August
Disaster Management Tax Relief Bill [B 11 - 2020] (National Assembly – sec 77) – (Standing Committee on Finance - National Assembly).,UMthethosivivinywa Wokulawulwa Kwentela Yesikhwama Sokwelekelela Uma Kuvele Inhlekele [B 11 - 2020] (isiShayamthetho sikaZwelonke – isigaba- 77) – (IKomidi Elingaguquki elibhekele EzeziMali - isiShayamthetho sikaZwelonke).,August
Disaster Management Tax Relief Administration Bill [B 12 - 2020] (National Assembly – sec 75) – (Standing Committee on Finance - National Assembly).,UMthethosivivinywa Wokuphathwa Kwesikhwama Sokwelekelela Uma Kuvele Inhlekele [B 12 - 2020] (iSishayamthetho Sikazwelonke – isig 75) (IKomidi Elingaguquki elibhekele Ezezimali – isiShayamthetho sikaZwelonke).,August
Public Finance Management Amendment Bill [B 13 - 2020] (National Assembly – sec 76) – (Standing Committee on Finance - National Assembly).,33. ISichibiyelo soMthethosivivinywa Wokuphathwa Kwezimali      Zikahulumeni [B 13 - 2020] (isiShayamthetho sikaZwelonke – isigaba esihlongoziwe esama-76) – (IKomidi Elingaguquki elibhekele EzeziMali – isiShayamthetho,August
Employment Equity Amendment Bill [B 14 - 2020] (National Assembly – sec 75) – (Portfolio Committee on Employment and Labour – National Assembly).,34. IsiChibiyelo soMthethosivivinywa wokuLingana emSebenzini [B 14 – 2020] (IsiShayamthetho sikaZwelonke – isg esiphakanyisiwe sama- 75)- (IKomidi Elibhekele Ezabasebenzi Nokuqashwa-yesiShayamthetho sikaZwelonke),August
Financial Sector Laws Amendment Bill [B 15 - 2020] (National Assembly – proposed sec 75) – (Standing Committee on Finance - National Assembly).,ISichibiyelo soMthethosivivinywa soMthetho Wesikhungo sezeZezimali [B 15 - 2020] (iNdlu yesiShayamthetho sikaZwelonke – isigaba sama-75 esihlongoziwe).,August
BILLS RETURNED TO ASSEMBLY FOR CONSIDERATION OF PRESIDENT’S RESERVATIONS,IMITHETHOSIVIVINYWA EPHINDISELWE ENDLINI YESISHAYAMTHETHO SIKAZWELONKE UKUZE KUYOCUTSHUNGULWA IZINTO EZIKHATHAZA UMONGAMELI NGAWO,August
Protection of State Information Bill [B 6H – 2010] (National Assembly – sec 75).,UMthethosivivinywa Wokuvikelwa Kokusatshalaliswa Kwezindaba Zombuso [B 6H – 2010] (iNdlu yesiShayanthetho sikaZwelonke – isig. 75).,August
Liquor Products Amendment Bill [B 10B – 2016] (National Assembly – sec 75).,ISichibiyelo soMthethosivivinywa Semikhiqizo Yotshwala [B 10B – 2016] (iNdlu yesiShayanthetho sikaZwelonke – isig. 75).,August
Performers’ Protection Amendment Bill [B24B - 2016] (National Assembly – sec 75).,ISichibiyelo SoMthethosivivinywa Wokuvikelwa Kwamaciko [B 24B - 2016] (iSishayamthetho Sikazwelonke – isig 75).,August
Copyright Amendment Bill [B13B - 2017] (National Assembly – sec 75).,4. Isichibiyelo soMthethosivivinywa Wezokuvikelwa Kwamalungelo Okuyimibhalo [B13B - 2017] ((iNdlu yesiShayamthetho sikaZwelonke – isigaba 75).,August
"BILLS, SUBJECT TO PROPOSED AMENDMENTS, PASSED BY NATIONAL COUNCIL OF PROVINCES AND RETURNED TO NATIONAL ASSEMBLY FOR CONCURRENCE","IMITHETHOSIVIVINYWA, ENCIKE KWIZICHIBIYELO EZIPHAKANYISIWE, UMKHANDLU KAZWELONKE WEZIFUNDAZWE, YASE IPHINDISELWA KUSISHAYAMTHETHO SIKAZWELONKE UKUZE KUYOVUNYELWANA NGAYO",August
Cybercrimes Bill [B 6B – 2017] (National Assembly – sec 75) (introduced as Cybercrimes and Cybersecurity Bill [B 6 – 2017]).,1.UMthethosivivinywa WobuGebengu Obenziwe Nge-Inthanethi [B 6B – 2017] (iNdlu yesiShayanthetho sikaZwelonke – isigaba 75) (owethulwa njengoMthethosivivinywa Wobugebengu Obenziwe Nge-Inthanethi kanye Nokuvikeleka Ebugebengwini Obenziwe Nge-Inthanethi [B 6 – 2017],August
BILLS PASSED BY NATIONAL ASSEMBLY AND TRANSMITTED TO NATIONAL COUNCIL OF PROVINCES FOR CONCURRENCE,IMITHETHOSIVIVINYWA EPHASISWE ISISHAYAMTHETHO SIKAZWELONKE YAZE YADLULISELWA EMKHANDLWINI KAZWELONKE WEZIFUNDAZWE UKUZE KUYOVUNYELWANA NGAYO,August
Traditional Courts Bill [B 1B – 2017] (National Assembly – sec 76).,UMthethosivivinywa WeziNkantolo ZeNdabuko [B 1B – 2017] (iNdlu yesiShayamthetho sikaZwelonke – isigaba 76).,August
Airports Company Amendment Bill [B 5B – 2018] (National Assembly – sec 75).,ISichibiyelo SoMthethosivivinywa Wezinkampani Zezikhumulo Zezindiza [B 5B – 2018] (iSishayamthetho Sikazwelonke – isigaba 75).,August
Air Traffic and Navigation Services Company Amendment Bill [B 6B – 2018] (National Assembly – sec 75).,ISichibiyelo soMthethosivivinywa Wezinkampani Ezilawula Ukuhamba Emoyeni [B 6B – 2018] (iSishayamthetho Sikazwelonke – isigaba 75).,August
Social Assistance Amendment Bill [B 8B - 2018] (National Assembly – sec 76).,ISichibiyelo soMthethosivivinywa Wezokusizwa Komphakathi [B 8 – 2018] (iSishayamthetho Sikazwelonke – isigaba 76).,August
Local Government: Municipal Structures Amendment Bill [B 19B – 2018] (National Assembly – sec 76).,Ohulumeni Basekhaya: Isichibiyelo soMthethosivivinywa Wezinhlaka ZoMasipala [B 19B – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba-76).,August
National Gambling Amendment Bill [B 27B – 2018] (National Assembly – sec 76).,Isichibiyelo soMthethosivivinywa Kazwelonke WezokuGembula [B 27B – 2018] (iNdlu yesiShayamtetho sikaZwelonke – isigaba76).,August
Recognition of Customary Marriages Amendment Bill [B 12 - 2019] (National Assembly – sec 76).,ISichibiyelo SoMthethosivivinywa Owamukela Imishado Yesintu [B 12 - 2019] ((iSishayamthetho Sikazwelonke – isigaba 76).,August
Judicial Matters Amendment Bill [B 13B - 2019] (National Assembly – sec 75).,ISichibiyelo soMthethosivivinywa Wezindaba Zezobulungiswa [B 13B - 2019] (IsiShayamthetho SikaZwelonke – Isigaba 75).,August
Prescription in Civil and Criminal Matters (Sexual Offences) Amendment Bill [B 22B - 2019] (National Assembly – sec 75).,ISichiyelo SoMthethosivivinywa Wokuphelelwa Isikhathi Kwezindaba Zombango kanye Namacala Obugebengu (Amacala Ezocansi) [B 22B - 2019] (iSishayamthetho Sikazwelonke – isigaba,August
INTERNATIONAL AGREEMENTS,IZIVUMELWANO ZAMAZWE OMHLABA,August
"Ratification of the Agreement between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Africa on the IBSA Fund for the Alleviation of Poverty and Hunger (signed 17 October 2017) (Tabled on 18 October 2019) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 22 October 2019) (NCOP: Referred to Select Committee on Security and Justice on 24 October 2019).","1.Ukuqiniswa kwesivumelwano phakathi kukahulumeni weRiphabhuliki yaseNdiya, uhulumeni Wobufederali weRiphabhuliki yaseBrazil kanye noHulumeni weRiphabhuliki yaseNingizimu Afrika mayelana neSikhwama se-IBSA Sokwehlisa izinga lobumpofu kanye Nendlala (Esasayindwa mhlazi-17 kuMfumfu wezi-2017) (Esethulwe mhlazi-18 kuMfumfu wezi-2019) (ISishayamthetho Sikazwelonke: Okuthunyelwe eKomidini elibhekele Ezobudlelwano Bamazwe Omhlaba Nokubambisana mhlazinga-22 kuMfumfu wezi-2019). (UMkhandlu kaZwelonke WeziFundazwe: Esaqondiswa eKomidini loMkhandlu Kazwelonke Wezifundazwe elibhekele Ezokuphepha kanye neZobulungiswa mhlazingama-24 kuMfumfu wezi-).",August
Agreement between the Government of the Republic of South Africa and the European Atomic Energy Community (EURATOM) for Co-operation in the Peaceful Uses of Nuclear Energy (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Mineral Resources and Energy on 18 November 2019).,2.Isivumelwano phakathi kukahulumeni weRiphabhuliki yaseNingizimu Afrika kanye NoMphakathi WaseYurophu Olawula Ukusetshenziswa Kwamandla Enunzi (i-EURATOM) ukuze kuSetshenziswe Amandla Enunzi Ngokubambisana Okunokuthula (Esendlalwe mhlazi-14 kuLwezi wezi-2019) (Esithunyelwe eKomidini LeSishayamthetho sikaZwelonke elibhekele Ezezimbiwa Nezamandla mhlaziyi-18 kuLwezi wezi-2019).,August
African Charter on Statistics (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Public Service and Administration on 9 March 2020).,3.I-Charter YaseAfrika YeziBalo (Esendlalwe mhla zi-5 kuNdasa wezi-2020) (IsiShayamthetho sikaZwelonke: Sadluliselwa eKomidini loMkhandlu WeziFundazwe elibhekele Izisebenzi ZikaHulumeni NezokuPhatha mhlazi-9 kuNdasa wezi-).,August
Treaty of Amity and Cooperation (TAC) in South East Asia (Tabled on 18 March 2020) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 26 March 2020 – reported on 11 June 2020 – approved on 17 June 2020)(NCOP: Referred to Select Committee on Security and Justice on 29 June 2020 – reported on 29 July 2020).,4.ISivumelwano Sobuhlobo kanye Nokubambisana eNingizimu Ntshonalanga ye-Asia (i-TAC) (Esendlalwe mhla zi-18 kuNdasa wezi-2020) (IsiShayamthetho sikaZwelonke: yadliliselwa eKomidini LezoBudlelwano kanye NokuBambisana Namazwe mhla zi-26 kuNdasa wezi-2020)– yabikwa mhlaziyi-11 kuNhlangulana wezi-2020 – okwavunyelwana ngaso mhlaziyi-17 kuNhlangulana wezi-2020)(UMkhandlu KaZwelonke Wezifundazwe: Sadluliselwa KwiKomidi LoMkhadlu KaZwelonke Wezifundazwe elibhekele ezokuphepha NezoBulungiswa mhlazingama-29 kuNhlangulana wezi-2020-okwabikwa ngakho mhla zingama- 29 kuNtulikazi wezi-).,August
QUESTIONS:,IMIBUZO:,August
President.,UMengameli.,August
MOTIONS:,IZIPHAKAMISO:,August
Draft resolution (Chief Whip of the Majority Party): That the House extends the deadline by which the Ad Hoc Committee on the Appointment of the Auditor-General has to complete its task to 30 October 2020.,Isinqumo somhlangano sesikhashana (USositswebhu omKhulu weQembu eliBusayo): Ukuthi iNdlu ihlehlise usuku lokugcina lapho khona iKomidi lesiKhashana bekufanele libe selimubekile uMcwaningimabhuku- Jikelele esikhundleni kube umhla zingama-30 kuMfumfu wezi- 2020.,August
FURTHER BUSINESS,OKUNYE OKUZODINGIDWA,August
ORDERS OF THE DAY:,IZINHLELO ZOSUKU:,August
"Consideration of Report of Portfolio Committee on Mineral Resources and Energy on Engagements with regards to Lilly Mine (Announcements, Tablings and Committee Reports, 26 August 2020, p 14).","Ukucutshungulwa Kombiko weKomidi elimele uMthombo weziMbiwa mayelana nama Engagements eMayini i-Lilly (zimemezelo, izethulo kanye nemiBiko yekomidi, mhla zingama, 26 kuNcwaba wezi- 2020, ikh 14).",August
"Consideration of Report of Portfolio Committee on Mineral Resources and Energy on Engagements with regards to Optimum Mine (Announcements, Tablings and Committee Reports, 26 August 2020, p 4).","Ukucutshungulwa Kombiko weKomidi elimele uMthombo weziMbiwa mayelana nama Engagements eMayini i-Optimum (zimemezelo, izethulo kanye nemiBiko yekomidi, mhla zingama, 26 kuNcwaba wezi- 2020, ikh 4).",August
"Consideration of Report of Portfolio Committee on Transport on Road Accident Benefit Scheme Bill [B 17B – 2017] (Announcements, Tablings and Committee Reports, 21 August 2020, p 15).","Ukucutshungulwa Kombiko weKomidi elimele Ezokuthutha- NgoMthethosivivinywa Wesikhwama Semihlomulo Yezingozi [B 17B – 2017] (Izimemezelo, izethulo kanye nemiBiko yekomidi, mhla zingama, 21 kuNcwaba wezi- 2020, ikh 15).",August
Second Reading – Road Accident Benefit Scheme Bill [B 17B – 2017] (National Assembly – sec 75) – (Minister of Transport).,Ukufundwa Kwesibili – Mthethosivivinywa Wesikhwama Semihlomulo Yezingozi [B 17B – 2017] (isiShayamthetho sikazwelonke isig - 75) – (UNgqongqoshe Wezokuthutha).,August
"Consideration of Report of Portfolio Committee on Transport on 2019/20 Fourth Quarter Expenditure of Department of Transport (Announcements, Tablings and Committee Reports, 20 August 2020, p 26).","Ukucutshungulwa Kombiko weKomidi elimele Ezokuthutha ngoMbiko weKota Yesine Yokusebenza Komnyango Wezokuthutha kunyaka wezi-2019/20 (Izimemezelo, izethulo kanye nemiBiko yekomidi, mhla zingama, 20 kuNcwaba wezi- 2020, ikh 26)",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Fourth quarter performance of 2019/20 financial year: Department Public Service and Administration, entities and Public Service Commission (Announcements, Tablings and Committee Reports, 20 August 2020, p 16).","Ukucutshungulwa Kombiko Wekomidi lasePhalamende elibhekele Abasebenzi BakaHulumeni Nokuphathwa ngokusebenza kwiKota Yesine kunyaka wezimali 2019/20: UMnyango Wabasebenzi BakaHulumeni Nokuphathwa, Izikhungo kanye NeKhomishana Yabasebenzi BakaHulumeni (Izimemezelo, izethulo kanye nemiBiko yekomidi, mhla zingama -20 kuNcwaba wezi-2020, ikh 16).",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Fourth quarter performance of 2019/20 financial year: Statistics South Africa (Announcements, Tablings and Committee Reports, 20 August 2020, p 10).","Ukucutshungulwa Kombiko Wekomidi lasePhalamende elibhekele Abasebenzi BakaHulumeni Nokuphathwa ngokusebenza kwiKota Yesine kunyaka wezimali 2019/20: Isikhungo Sezibalo saseNingizimu Afrika (Izimemezelo, izethulo kanye nemiBiko yekomidi, mhla zingama 20 kuNcwaba wezi 2020 ikh, 10)",August
"Consideration of Report of Portfolio Committee on Public Service and Administration on Fourth quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Announcements, Tablings and Committee Reports, 20 August 2020, p 2).","Ukucutshungulwa Kombiko Wekomidi lasePhalamende elibhekele Abasebenzi BakaHulumeni Nokuphathwa ngokusebenza kwiKota Yesine kunyaka wezimali 2019/20: UMnyango Wezokuhlela, Ukuqapha Nokubuyekeza kanye ne-Brand South Africa (Izimemezelo, izethulo kanye nemiBiko yekomidi, mhla zingama 20 kuNcwaba wezi 2020, ikh 2)",August
"Consideration of Report of Portfolio Committee on Public Enterprises on Petition from the residents of Jamestown, Stellenbosch, calling on the Assembly to investigate the transfer, by Eskom, of management powers over the electricity network in Jamestown to Stellenbosch municipality (submitted by Dr L Shreiber, MP)  (Announcements, Tablings and Committee Reports, 19 August 2020, p 8).","Ukucutshungulwa Kombiko weKomidi lasePhalamende elibhekele AmaBhizinisi KaHulumeni Ngencwadi yesikhalazo eyayivela kwizakhamuzi zase- Jamestown, Stellenbosch zicela isiShayamthetho ukube sibheke isinqumo esathathwa ngu-Eskom sokudlulisa udaba luka gesi eJamestown lube sezandleni zikamasipala wase-Stellenbosch (sasithunyelwe ngu Dr. L Shreiber, iLunga LePhalamende) (Izimemezelo, izethulo kanye nemiBiko yekomidi, mhla ziyi-, 19 kuNcwaba wezi 2020, ikh 8).",August
"Consideration of Report of Portfolio Committee on Women, Youth and Persons with Disabilities on Draft Notice on Determination of Remuneration of Independent Constitutional Institutions (Announcements, Tablings and Committee Reports, 19 August 2020, p 6).","Ukucutshungulwa Kombiko weKomidi lasePhalamende elibhekele ABesifazane, Intsha Nabantu Abakhubazekule Ngesaziso Esiluhlaka Ngokuholelwa Kwezikhungo Ezizimele Ngokomthethosisekelo (Izimemezelo, izethulo kanye nemibiko yekomidi mhla ziyi- 19 kuNcwaba wezi- 2020, ikh 6).",August
