eng,afr,source
"Ratification of the Agreement between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Africa on the IBSA Fund for the Alleviation of Poverty and Hunger (signed 17 October 2017) (Tabled on 18 October 2019) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 22 October 2019) (NCOP: Referred to Select Committee on Security and Justice on 24 October 2019).","Ratification of the Agreement between the Government of the Republic of India, the Government of the Federative Republic of Brazil and the Government of the Republic of South Africa on the IBSA Fund for the Alleviation of Poverty and Hunger (signed 17 October 2017) (Ter tafel gelê op 18 Oktober 2019) (NV: Verwys na Portefeuljekomitee oor Internasionale Betrekkinge en Samewerking op 22 Oktober 2019) (NRVP: Verwys na Gekose Komitee oor Veiligheid en Justisie op 24 Oktober 2019).",August
Agreement between the Government of the Republic of South Africa and the European Atomic Energy Community (EURATOM) for Co-operation in the Peaceful Uses of Nuclear Energy (Tabled on 14 November 2019) (NA: Referred to Portfolio Committee on Mineral Resources and Energy on 18 November 2019).,Agreement between the Government of the Republic of South Africa and the European Atomic Energy Community (EURATOM) for Co-operation in the Peaceful Uses of Nuclear Energy (Ter tafel gelê op 14 November 2019) (NV: Verwys na Portefeuljekomitee oor Minerale Hulpbronne en Energie op 18 November 2019).,August
African Charter on Statistics (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Public Service and Administration on 9 March 2020).,African Charter on Statistics (Ter tafel gelê op 5 Maart 2020) (NV: Verwys na Portefeuljekomitee oor Staatsdiens en Administrasie op 9 Maart 2020).,August
Treaty of Amity and Cooperation (TAC) in South East Asia (Tabled on 18 March 2020) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 26 March 2020 – reported on 11 June 2020 – approved on 17 June 2020)(NCOP: Referred to Select Committee on Security and Justice on 29 June 2020 – reported on 29 July 2020).,Treaty of Amity and Cooperation (TAC) in South East Asia (Ter tafel gelê op 18 Maart 2020) (NV: Verwys na Portefeuljekomitee oor Internasionale Betrekkinge en Samewerking op 26 Maart 2020 – voorgelê op 11 Junie 2020 – goedgekeur op 17 Junie 2020) (NRVP: Verwys na Gekose Komitee oor Veiligheid en Justisie op 29 Junie 2020 – voorgelê op 29 Julie 2020).,August
ORDERS OF THE DAY:,DAGORDES:,September
Debate in terms of Rule 130: Recent scourge of farm attacks and murders of farmers and farm workers – (Ms D Kohler).,Debat ingevolge Reël 130: Recent scourge of farm attacks and murders of farmers and farm workers – (me D Kohler).,September
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on Sector Education and Training Authorities and National Skills Fund 2020 – 2025 Strategic Plans and 2020/21 Annual Performance Plans and Budgets (Announcements, Tablings and Committee Reports, 17 July 2020, p 205).","Oorweging van Verslag van Portefeuljekomitee oor Hoër Onderwys, Wetenskap en Tegnologie oor Sector Education and Training Authorities and National Skills Fund 2020 – 2025 Strategic Plans and 2020/21 Annual Performance Plans and Budgets (Aankondigings, Tertafelleggings en Komiteeverslae, 17 Julie 2020, bl 205).",September
"Consideration of Report of Portfolio Committee on Higher Education, Science and Technology on 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Announcements, Tablings and Committee Reports, 5 December 2019, p 24).","Oorweging van Verslag van Portefeuljekomitee oor Hoër Onderwys, Wetenskap en Tegnologie oor 2018/19 Annual Reports of National Skills Fund and Sector Education and Training Authorities (Aankondigings, Tertafelleggings en Komiteeverslae, 5 Desember 2019, bl 24).",September
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s second quarter financial and non-financial performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 5 December 2019, p 4).","Oorweging van Verslag van Portefeuljekomitee oor Handel en Nywerheid oor Departments of Trade and Industry and of Economic Development’s Second Quarter Financial and Non-financial Performance for 2019/20 financial year (Aankondigings, Tertafelleggings en Komiteeverslae, 5 Desember 2019, bl 4).",September
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s third quarter financial and non-financial performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 19 May 2020, p 3).","Oorweging van Verslag van Portefeuljekomitee oor Handel en Nywerheid oor Departments of Trade and Industry and of Economic Development’s third quarter financial and non-financial performance for 2019/20 financial year (Aankondigings, Tertafelleggings en Komiteeverslae, 19 Mei 2020, bl 3).",September
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s fourth quarter financial and non-financial performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 25 June 2020, p 5).","Oorweging van Verslag van Portefeuljekomitee oor Handel en Nywerheid oor Departments of Trade and Industry and of Economic Development’s fourth quarter financial and non-financial performance for 2019/20 financial year (Aankondigings, Tertafelleggings en Komiteeverslae, 25 Junie 2020, bl 5).",September
FURTHER BUSINESS,VERDERE WERKSAAMHEDE,September
ORDERS OF THE DAY:,DAGORDES:,September
"Consideration of Report of Portfolio Committee on Transport on Oversight visit to assess state of readiness of various modes of transport and their attendant facilities in line with implementation of Level 3 Regulations of Covid-19 Lockdown (Announcements, Tablings and Committee Reports, 27 August 2020, p 3).","Oorweging van Verslag van Portefeuljekomitee oor Vervoer oor Oversight visit to assess state of readiness of various modes of transport and their attendant facilities in line with implementation of Level 3 Regulations of Covid-19 Lockdown (Aankondigings, Tertafelleggings en Komiteeverslae, 27 Augustus 2020, bl 3).",September
"Consideration of Report of Portfolio Committee on Mineral Resources and Energy on Engagements with regards to Lilly Mine (Announcements, Tablings and Committee Reports, 26 August 2020, p 14).","Oorweging van Verslag van Portefeuljekomitee oor Minerale Hulpbronne en Energie oor Engagements with regards to Lilly Mine (Aankondigings, Tertafelleggings en Komiteeverslae, 26 Augustus 2020, bl 14).",September
"Consideration of Report of Portfolio Committee on Mineral Resources and Energy on Engagements with regards to Optimum Mine (Announcements, Tablings and Committee Reports, 26 August 2020, p 4).","Oorweging van Verslag van Portefeuljekomitee oor Minerale Hulpbronne en Energie oor Engagements with regards to Optimum Mine (Aankondigings, Tertafelleggings en Komiteeverslae, 26 Augustus 2020, bl 4).",September
"Consideration of Report of Portfolio Committee on Transport on Road Accident Benefit Scheme Bill [B 17B – 2017] (Announcements, Tablings and Committee Reports, 21 August 2020, p 15).","Oorweging van Verslag van Portefeuljekomitee oor Vervoer oor Road Accident Benefit Scheme Bill [B 17B – 2017] (Aankondigings, Tertafelleggings en Komiteeverslae, 21 Augustus 2020, bl 15).",September
Second Reading – Road Accident Benefit Scheme Bill [B 17B – 2017] (National Assembly – sec 75) – (Minister of Transport).,Tweede Lesing – Road Accident Benefit Scheme Bill [B 17B – 2017] (Nasionale Vergadering – art 75) – (Minister van Vervoer).,September
"Consideration of Report of Portfolio Committee on Transport on 2019/20 Fourth quarter expenditure of Department of Transport (Announcements, Tablings and Committee Reports, 20 August 2020, p 26).","Oorweging van Verslag van Portefeuljekomitee oor Vervoer oor 2019/20 Fourth Quarter Expenditure of Department of Transport (Aankondigings, Tertafelleggings en Komiteeverslae, 20 Augustus 2020, bl 26).",September
"Consideration of Report of Portfolio Committee on Public Service and Administration on Fourth quarter performance of 2019/20 financial year: Department Public Service and Administration, entities and Public Service Commission (Announcements, Tablings and Committee Reports, 20 August 2020, p 16).","Oorweging van Verslag van Portefeuljekomitee oor Staatsdiens en Administrasie oor Fourth quarter performance of 2019/20 financial year: Department Public Service and Administration, entities and Public Service Commission (Aankondigings, Tertafelleggings en Komiteeverslae, 20 Augustus 2020, bl 16).",September
"Consideration of Report of Portfolio Committee on Public Service and Administration on Fourth quarter performance of 2019/20 financial year: Statistics South Africa (Announcements, Tablings and Committee Reports, 20 August 2020, p 10).","Oorweging van Verslag van Portefeuljekomitee oor Staatsdiens en Administrasie oor Fourth quarter performance of 2019/20 financial year: Statistics South Africa (Aankondigings, Tertafelleggings en Komiteeverslae, 20 Augustus 2020, bl 10).",September
"Consideration of Report of Portfolio Committee on Public Service and Administration on Fourth quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Announcements, Tablings and Committee Reports, 20 August 2020, p 2).","Oorweging van Verslag van Portefeuljekomitee oor Staatsdiens en Administrasie oor Fourth quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Aankondigings, Tertafelleggings en Komiteeverslae, 20 Augustus 2020, bl 2).",September
"Consideration of Report of Portfolio Committee on Public Enterprises on Petition from the residents of Jamestown, Stellenbosch, calling on the Assembly to investigate the transfer, by Eskom, of management powers over the electricity network in Jamestown to Stellenbosch municipality (submitted by Dr L Shreiber, MP)  (Announcements, Tablings and Committee Reports, 19 August 2020, p 8).","Oorweging van Verslag van Portefeuljekomitee oor Openbare Ondernemings oor Petition from the residents of Jamestown, Stellenbosch, calling on the Assembly to investigate the transfer, by Eskom, of management powers over the electricity network in Jamestown to Stellenbosch municipality (submitted by Dr L Shreiber, MP) (Aankondigings, Tertafelleggings en Komiteeverslae, 19 Augustus 2020, bl 8).",September
"Consideration of Report of Portfolio Committee on Women, Youth and Persons with Disabilities on Draft Notice on Determination of Remuneration of Independent Constitutional Institutions (Announcements, Tablings and Committee Reports, 19 August 2020, p 6).","Oorweging van Verslag van Portefeuljekomitee oor Vroue, Jeug en Persone met Gestremdhede on Draft Notice on Determination of Remuneration of Independent Constitutional Institutions (Aankondigings, Tertafelleggings en Komiteeverslae, 19 Augustus 2020, bl 6).",September
"Consideration of Report of Portfolio Committee on Women, Youth and Persons with Disabilities on Filling of vacancies on National Youth Development Agency (NYDA) Board (Announcements, Tablings and Committee Reports, 6 August 2020, p 4).","Oorweging van Verslag van Portefeuljekomitee oor Vroue, Jeug en Persone met Gestremdhede oor Filling of vacancies on National Youth Development Agency (NYDA) Board (Aankondigings, Tertafelleggings en Komiteeverslae, 6 Augustus 2020, bl 4).",September
"Consideration of Report of Portfolio Committee on International Relations and Cooperation on 4th Quarter 2019/20 expenditure performance of Department of International Relations and Cooperation and African Renaissance and International Cooperation Fund (Announcements, Tablings and Committee Reports, 17 July 2020, p 173).","Oorweging van Verslag van Portefeuljekomitee oor Internasionale Betrekkinge en Samewerking oor 4th Quarter 2019/20 expenditure performance of Department of International Relations and Cooperation and African Renaissance and International Cooperation Fund (Aankondigings, Tertafelleggings en Komiteeverslae, 17 Julie 2020, bl 173).",September
